county,constituency_name,constituency,office_location,clean_office_location,landmark,source,created_at
Mombasa,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Changamwe At Changamwe firestation Changamwe firestation 0 meters,Changamwe At Changamwe firestation Changamwe firestation 0 meters,Jomvu Mikindani Police Station Mikindani Police Station 0 meters,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.204507
Kwale,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Msambweni Msambweni Dcc's Office Compound Subcounty Headquarters of 100 Metres,Msambweni Msambweni Dcc's Office Compound Subcounty Headquarters of 100 Metres,Lungalunga Mbuyuni Area Next to Rafiki Yetu Building Mnarani (Communication Mast) 100 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.206711
Kwale,,,Information Offices,Information Offices,"Kinango Bebora Plaza, 3rd Floor, Kinango Town Chief's Office Kinango Town 10 Metres",IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.207865
Kilifi,,,Kaloleni Adjacent To St.Johns Girls Sec. School Ack Church Kaloleni 50 Metres,Kaloleni Adjacent To St.Johns Girls Sec. School Ack Church Kaloleni 50 Metres,Rabai Shikaadabu Cdf Office/Shikaadabu Dispensary 500 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.211614
Tana River,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Garsen Garsen Town Kcb Bank 100 Metres,Garsen Garsen Town Kcb Bank 100 Metres,Galole Hola Town Kenya Medical Training 50 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.212618
Garissa,,,Balambala Balambala Town Next To Dc’s Office,Balambala Balambala Town Next To Dc’s Office,"Lagdera Modogashe Town, Opposite Police Station",IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.216806
Wajir,,,Tarbaj Tarbaj Ward Administrator’s Office 50 Metres,Tarbaj Tarbaj Ward Administrator’s Office 50 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.218310
Wajir,,,Eldas Eldas DC‘s Residence 50 Metres,Eldas Eldas DC‘s Residence 50 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.220045
Mandera,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,"Banissa Banissa Town, Along Banissa-Rhamu Road Next to Malkamari Hotel 20 Meters","Banissa Banissa Town, Along Banissa-Rhamu Road Next to Malkamari Hotel 20 Meters",,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.220820
Mandera,,,Lafey Lafey Town Next To Lafey Primary School 100 Metres,Lafey Lafey Town Next To Lafey Primary School 100 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.225475
Marsabit,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Moyale ACK Moyale. St. Paul Training Center Within the Compound,Moyale ACK Moyale. St. Paul Training Center Within the Compound,North Horr Nyota Self Help Group North Horr Adjacent to AP Camp 300 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.226806
Isiolo,,,Mission Compound,Mission Compound,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.229266
Meru,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Buuri Timau DCC Buuri West Office Sharing Building,Buuri Timau DCC Buuri West Office Sharing Building,Igembe Central Kangeta DCC Office 100 Meters,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.229266
Meru,,,Igembe South Maua Town Maua Police Station 150 Meters,Igembe South Maua Town Maua Police Station 150 Meters,Central Imenti Gatimbi Market Equator Signpost 800 Meters,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.230783
Tharaka-Nithi,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,"Maara DCC Compound, Kienganguru DCC Compound 100 Metres","Maara DCC Compound, Kienganguru DCC Compound 100 Metres","Chuka/ Igambang'ombe Chuka Town, Sub County Office Compound Opposite Trans National Bank 200 Metres",IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.231368
Embu,,,Mbeere South Kiritiri Town DCC Offices - Mbeere East Subcounty 200 Metres,Mbeere South Kiritiri Town DCC Offices - Mbeere East Subcounty 200 Metres,Mbeere North DCC Compound Mbeere North Subcounty DCC Offices 15 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.234443
Kitui,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Mwingi North Kyuso Town Behind Equity Bank 200 ft,Mwingi North Kyuso Town Behind Equity Bank 200 ft,Mwingi West Migwani market - inside DCC Office Complex Baraza Park 30 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.234443
Kitui,,,Kafoca Hotel,Kafoca Hotel,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.239497
Machakos,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Masinga Masinga Town Opposite MULKAS petrol,Masinga Masinga Town Opposite MULKAS petrol,Yatta National Cereals and Produce Board,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.242463
Machakos,,,"Department of Education, Skills &Trainning","Department of Education, Skills &Trainning","office, Mwatu wa Ngoma Street",IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.243756
Makueni,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Mbooni Tawa Social Hall Tawa Law Courts 80 Metres,Mbooni Tawa Social Hall Tawa Law Courts 80 Metres,Kilome Kwa DC (Malili) Konza City (Malili) 1 km (along NBI-MSA Highway),IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.244310
Makueni,,,Kibwezi West Makindu Town DCCs Office Same compound,Kibwezi West Makindu Town DCCs Office Same compound,Kibwezi East Kambu Lutheran Church Kambu Sub County (Ministry of Interior Office) 150 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.245420
Nyandarua,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Kinangop Elacy Trading Center First Floor North Kinangop Subcounty Headquarters 50 Meters,Kinangop Elacy Trading Center First Floor North Kinangop Subcounty Headquarters 50 Meters,Kipipiri Kipipiri Subcounty Headquaters Kipipiri Subcounty Headquaters Within,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.245420
Nyandarua,,,Ndaragwa Ndaragwa Township Next to Central Ward MCA Ndaragwa Police Station 50 to 100 Meters,Ndaragwa Ndaragwa Township Next to Central Ward MCA Ndaragwa Police Station 50 to 100 Meters,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.246855
Nyeri,Wamagana National Government Constituency Development,Wamagana National Government Constituency Development,Tetu Tetu Sub County Headquarters Deputy County Commissioner(DCC) Offices or Tetu 50 Meters,Tetu Tetu Sub County Headquarters Deputy County Commissioner(DCC) Offices or Tetu 50 Meters,Fund (NGCDF) Offices,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.248034
Kirinyaga,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Mwea County Council Offices Wanguru Wanguru Police Station 50 Metres,Mwea County Council Offices Wanguru Wanguru Police Station 50 Metres,Gichugu All Saints Kianyaga ACK Raimu Primary School 50 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.248034
Kirinyaga,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,County Office Professional Plaza 3rd Floor Judiciary Kerugoya High Court 50 Metres,County Office Professional Plaza 3rd Floor Judiciary Kerugoya High Court 50 Metres,Murang’a County,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.249794
Murang'a,,,Mukuyu Mukuyu,Mukuyu Mukuyu,"Kigumo Kangari Town East End Mall, Building, 3rd Floor. Kangari Town. Within Muungano Microfinance buidling",IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.250620
Murang'a,,,Mukuyu Mukuyu,Mukuyu Mukuyu,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.251621
Kiambu,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Gatundu South DCC Compound Gatundu Level 5 Hospital 100 Meters,Gatundu South DCC Compound Gatundu Level 5 Hospital 100 Meters,Gatundu North Kamwangi DCC Office Kamwangi Within DCC Office Compound,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.251621
Kiambu,,,Kiambaa Kiambaa Subcounty DCC Office Compoud Kiambaa Subcounty DCC Building (Orange) Afew Metres,Kiambaa Kiambaa Subcounty DCC Office Compoud Kiambaa Subcounty DCC Building (Orange) Afew Metres,Kabete Kabete Sub County Government Premises. Wangige Sub County Hospital 100 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.254278
Nairobi,,,mende Town At K-Unity Sacco Bulding On The,mende Town At K-Unity Sacco Bulding On The,First Floor Using Safaricom Shop Entrance.,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.255300
Turkana,,,Loima DCC's Compound Lorgum DCC's Office 10 Metres,Loima DCC's Compound Lorgum DCC's Office 10 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.257997
West Pokot,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Kapenguria Deputy Commissioner’s Compound DCC Offices 10 Meters,Kapenguria Deputy Commissioner’s Compound DCC Offices 10 Meters,Sigor KVDA KVDA Offices 0 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.261205
Trans Nzoia,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Kwanza KFA Building kitale town KFA Building Within KFA Building,Kwanza KFA Building kitale town KFA Building Within KFA Building,Endebess Endebess Centre DCCs office 150 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.264439
Uasin Gishu,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,"Soy Meadows Plaza, opposite Sirikwa Hotel Meadows plaza","Soy Meadows Plaza, opposite Sirikwa Hotel Meadows plaza","Turbo Within NCCK North headquarters, West Indies NCCK North Headquarters, West Indies 100 Metres",IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.265443
Nandi,,,Emgwen Mininstry of Lands Kapsabet Ministry of Lands/ Acc Office 20meters From Tarmac,Emgwen Mininstry of Lands Kapsabet Ministry of Lands/ Acc Office 20meters From Tarmac,Chesumei Cheptarit Catholic Church- Mosoriot Cheptarit Catholic Church Same Location,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.267965
Baringo,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Tiaty Next To Ministry Of Education Offices- Chemolingot,Tiaty Next To Ministry Of Education Offices- Chemolingot,Chemolingot,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.269005
Baringo,,,Opposite Posta Building _ Kabarnet,Opposite Posta Building _ Kabarnet,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.271103
Baringo,,,Compound Satellite,Compound Satellite,Mogotio Behind Boresha Sacco Boresha Sacco- Mogotio Township 70m From The Tarmack,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.272102
Laikipia,,,Compound Nanyuki,Compound Nanyuki,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.275203
Laikipia,,,Compound Nanyuki,Compound Nanyuki,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.277214
Nakuru,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Molo Dcc's Compound - Molo Town Dc's Office - Molo Town 200m From Matatu Terminus,Molo Dcc's Compound - Molo Town Dc's Office - Molo Town 200m From Matatu Terminus,Njoro Aic Church - Compound -Njoro Aic Church - Njoro Inside The Compound,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.277310
Nakuru,,,Rongai IEBC Kampi ya moto behind DC office. Kampi Ya Moto Trading Center 100m,Rongai IEBC Kampi ya moto behind DC office. Kampi Ya Moto Trading Center 100m,Bahati Do's Compound - Kiamaina / Maili Sita - Bahati Do's Office Kiamaina / Maili Sita - Bahati 100 M,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.278218
Nakuru,,,Association(KFA),Association(KFA),,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.279218
Narok,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Kilgoris Old Kilgoris County Council Offices Cooperative Bank Kilgoris 80 Metres,Kilgoris Old Kilgoris County Council Offices Cooperative Bank Kilgoris 80 Metres,Emurua Dikkir Emurua Dikkir Sub County Offices 10 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.281231
Kericho,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Ainamoi County Commissioner's Compound Behind Administration Police and 20 Meters from the County Commissioners,Ainamoi County Commissioner's Compound Behind Administration Police and 20 Meters from the County Commissioners,Children’s Dept. Office Gate,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.292927
Kericho,,,Kipkelion East Within Londian Post Office Londian Post Office Post Office Compound,Kipkelion East Within Londian Post Office Londian Post Office Post Office Compound,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.293469
Bomet,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Chepalungu Sigor AGC Church Junction to Sigor Township 500 Metres,Chepalungu Sigor AGC Church Junction to Sigor Township 500 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.294564
Bomet,,,Konoin Mogogsiek DCC Office Konoin Subcounty Approx. 150 Metres,Konoin Mogogsiek DCC Office Konoin Subcounty Approx. 150 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.295609
Bomet,,,Sotik Ministry of Agriculture Opposite CDF Office Approx. 20 Metres,Sotik Ministry of Agriculture Opposite CDF Office Approx. 20 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.296929
Kakamega,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Lugari Lumakanda Centre Lumakanda P.A.G. Church 95 Metres,Lugari Lumakanda Centre Lumakanda P.A.G. Church 95 Metres,Likuyani At PAG Kongoni Church Compound Next to Likuyani Sub-County Offices 50 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.297539
Vihiga,,,Sabatia DCC Compound Sabatia Eye Hospital 600 Metres,Sabatia DCC Compound Sabatia Eye Hospital 600 Metres,Hamisi Hamisi Youth Empowerment Centre Hamisi Sub-County Hospital 100 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.298080
Bungoma,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Mt. Elgon Kapsokwony Koony House Within Kooni House,Mt. Elgon Kapsokwony Koony House Within Kooni House,Sisiria DCC Compound Sirisia DCC Office 50 Metres From DCC Office,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.298080
Bungoma,,,Webuye East 1st Office at DCC Compound 2nd DCC Compound / Mp Office Approx. 50m from the DCC Office,Webuye East 1st Office at DCC Compound 2nd DCC Compound / Mp Office Approx. 50m from the DCC Office,Office Along Webuye Kitale Road T-Junction 100m from T-Junction,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.300319
Bungoma,,,Infront of Webuye West CDF Offices,Infront of Webuye West CDF Offices,Kimilili Great Lounch Hotel Building Opposite Kimilili Deb Primary 20 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.300823
Bungoma,,,Headquaters,Headquaters,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.302296
Busia,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Teso North DCC's Compound Law Courts 2 Metres,Teso North DCC's Compound Law Courts 2 Metres,Teso South DCC's Compound DCC's building 0 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.303352
Siaya,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Ugenya Ukwala - Opposite Sub County Officers Posta - Ukwala 100 Metres,Ugenya Ukwala - Opposite Sub County Officers Posta - Ukwala 100 Metres,Ugunja Along Savana - Ambira Hospital Road Savana Hotel 50 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.304404
Siaya,,,Commissioners Office Compound,Commissioners Office Compound,Gem Nyangweso Market Centre - Adjacent Sawagongo High School 200 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.305614
Kisumu,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Nyando Awasi DCC Compound,Nyando Awasi DCC Compound,Muhoroni Awasi Opposite Pawtenge Primary,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.306397
Kisumu,,,centre and CDF office blocks at Ojola,centre and CDF office blocks at Ojola,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.307069
Kisumu,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Homabay County,Homabay County,Kasipul Within Karachuonyo South DCC Compound at Kosele,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.309396
Kisii,,,Karachuonyo Within Rachuonyo North DCC Complex at Kamodi,Karachuonyo Within Rachuonyo North DCC Complex at Kamodi,along Kendubay Oyugi Road,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.310703
Homa Bay,,,Ndhiwa Within Ndhiwa Sub County DCC Complex Along Ndhiwa,Ndhiwa Within Ndhiwa Sub County DCC Complex Along Ndhiwa,Suba North Inside Suba North Sub County Compound along Mbita -,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.311623
Migori,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Rongo Rongo Town DCC Office Rongo sub County Within DCC office compound,Rongo Rongo Town DCC Office Rongo sub County Within DCC office compound,Awendo Awendo Town NCPB Awendo Within NCPB Compound,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.311623
Migori,,,Uriri Uriri Town DCC officeUriri Sub County Within DCC Compound,Uriri Uriri Town DCC officeUriri Sub County Within DCC Compound,Nyatike Macalda Town County Government Office Macalda 50m from DCC office,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.313173
Kisii,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Bonchari Suneka Market Itierio Boys High School 40 Metres,Bonchari Suneka Market Itierio Boys High School 40 Metres,South Mugirango Nyamarambe DCC's Office 50 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.314729
Kisii,,,Kitutu Chache North Marani Centre Marani Sub-County Office 100 Metres,Kitutu Chache North Marani Centre Marani Sub-County Office 100 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.315287
Nyamira,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Kitutu Masaba Manga DCC Compound Manga Cliff 200 Metres,Kitutu Masaba Manga DCC Compound Manga Cliff 200 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.316592
Nyamira,,,Borabu DCC Office Compound in Kijauri Town DCC Offfice 20 Metres,Borabu DCC Office Compound in Kijauri Town DCC Offfice 20 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.320208
Nairobi,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Westlands DC Compound Safaricom Centre 200 Metres,Westlands DC Compound Safaricom Centre 200 Metres,Dagoretti North Maliposa Appartments - Ngong Road Nakumatt Junction 4KMs,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.320760
